Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
-66,0,0,0,0,42,0
-65,3,0,0,0,18,0
-64,6,0,0,0,12,0
-63,6,0,0,0,21,0
-62,0,0,0,0,18,0
-61,9,0,0,0,60,0
-60,15,0,0,0,27,0
-59,0,0,0,0,39,0
-58,18,0,0,0,57,0
-57,6,0,0,0,27,21
-56,9,0,0,0,45,6
-55,21,0,0,0,117,3
-54,3,0,0,0,24,6
-53,24,0,0,0,210,6
-52,15,0,0,0,153,3
-51,3,0,0,0,18,0
-50,12,0,0,0,24,6
-49,3,0,0,0,27,42
-48,6,6,0,0,30,45
-47,9,15,0,0,48,27
-46,6,3,0,0,39,39
-45,3,0,0,0,54,63
-44,9,18,0,0,21,78
-43,9,18,0,0,183,120
-42,39,39,0,0,210,123
-41,12,21,0,0,102,114
-40,39,21,0,0,210,108
-39,102,18,0,0,363,123
-38,21,18,0,0,267,96
-37,135,18,0,0,231,135
-36,60,48,0,0,435,129
-35,141,27,0,0,390,117
-34,57,21,0,0,246,111
-33,21,15,0,0,396,162
-32,213,33,0,0,366,180
-31,81,63,0,0,351,273
-30,51,39,0,0,372,276
-29,246,75,0,0,465,312
-28,36,60,0,0,387,276
-27,255,99,0,0,762,354
-26,444,102,0,0,654,369
-25,18,138,0,0,555,405
-24,405,162,0,0,1062,447
-23,429,180,0,0,720,498
-22,33,195,0,0,315,585
-21,162,300,0,0,696,783
-20,390,345,0,0,687,1008
-19,90,402,0,0,555,1305
-18,198,483,0,0,663,1224
-17,396,315,0,0,708,1017
-16,432,321,0,0,1020,1005
-15,294,321,0,0,939,1125
-14,129,285,0,0,456,945
-13,300,498,0,0,2112,1206
-12,249,501,0,0,765,1113
-11,243,468,0,0,963,1077
-10,921,438,0,0,2001,1203
-9,498,432,0,0,1233,1296
-8,84,315,0,0,1602,1377
-7,1944,444,0,0,2808,1749
-6,465,486,0,0,960,1716
-5,225,612,0,0,2472,1947
-4,3318,1086,0,0,3963,2628
-3,150,1605,0,0,1038,3309
-2,135,2868,0,0,3144,5280
-1,11745,7722,0,0,12657,10203
0,0,2928,276,276,1470,8352
1,3,576,36,36,12621,10167
2,3,102,18,33,3126,5247
3,3,30,24,24,1014,3285
4,3,36,21,21,3942,2607
5,3,42,15,9,2457,1938
6,3,6,12,27,948,1689
7,0,0,15,12,2793,1737
8,0,0,12,15,1590,1362
9,0,0,24,33,1209,1263
10,0,0,12,15,1989,1188
11,0,0,18,9,945,1068
12,0,0,9,9,756,1104
13,0,0,18,9,2094,1197
14,0,0,6,15,450,930
15,0,0,6,3,933,1122
16,0,3,6,12,1014,993
17,0,9,18,30,690,987
18,3,3,12,30,651,1194
19,3,0,12,39,543,1266
20,3,0,12,36,675,972
21,3,0,36,33,660,750
22,3,0,48,27,267,558
23,0,0,30,27,690,471
24,0,0,21,21,1041,426
25,0,0,27,18,528,387
26,0,0,18,33,636,336
27,0,0,21,21,741,333
28,0,0,15,18,372,258
29,0,0,27,15,438,297
30,0,0,27,27,345,249
31,0,0,21,48,330,225
32,0,0,18,45,348,135
33,0,0,9,36,387,126
34,0,0,21,24,225,87
35,0,0,36,24,354,93
36,0,0,30,15,405,114
37,0,0,18,33,213,102
38,0,0,30,12,237,84
39,0,0,27,27,336,96
40,0,0,33,12,177,96
41,0,0,6,21,96,93
42,0,0,6,18,204,105
43,0,0,6,9,177,111
44,0,0,6,15,15,63
45,0,0,12,9,42,54
46,0,0,12,9,27,30
47,0,0,9,6,39,21
48,0,0,9,0,21,45
49,0,0,15,0,12,42
50,0,0,15,0,9,6
51,0,0,9,0,9,0
52,0,0,21,0,132,3
53,0,0,27,0,183,6
54,0,0,6,0,18,6
55,0,0,6,0,111,3
56,0,0,6,0,39,6
57,0,0,0,0,27,21
58,0,0,0,0,57,0
59,0,0,12,0,27,0
60,0,0,9,0,18,0
61,0,0,6,0,54,0
62,0,0,3,0,15,0
63,0,0,0,0,21,0
64,0,0,0,0,12,0
65,0,0,0,0,18,0
66,0,0,0,0,42,0
